seqid	sample	count	domain	phylum	class	order	family	genus	species
7ea6a99a1f4df9b870201eb003d2291b	P28309_1042	93192	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
7ea6a99a1f4df9b870201eb003d2291b	P28309_1043	45028	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
7ea6a99a1f4df9b870201eb003d2291b	P28309_1044	37761	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
7ea6a99a1f4df9b870201eb003d2291b	P28309_1046	327758	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
7ea6a99a1f4df9b870201eb003d2291b	P28309_1047	39231	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
7ea6a99a1f4df9b870201eb003d2291b	P28309_1048	62662	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
7ea6a99a1f4df9b870201eb003d2291b	P28309_1049	29	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
7ea6a99a1f4df9b870201eb003d2291b	P28309_1050	8712	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
7ea6a99a1f4df9b870201eb003d2291b	P28309_1051	15907	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
7ea6a99a1f4df9b870201eb003d2291b	P28309_1052	25682	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
7ea6a99a1f4df9b870201eb003d2291b	P28309_1053	219	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
7ea6a99a1f4df9b870201eb003d2291b	P28309_1054	71462	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
7ea6a99a1f4df9b870201eb003d2291b	P28309_1055	9988	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
7ea6a99a1f4df9b870201eb003d2291b	P28309_1056	25	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
ca4f359002a42791e6e63e002698a66f	P28309_1046	10	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Thiobacillaceae	Thiobacillus	Thiobacillus thioparus
ca4f359002a42791e6e63e002698a66f	P28309_1048	18	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Thiobacillaceae	Thiobacillus	Thiobacillus thioparus
ca4f359002a42791e6e63e002698a66f	P28309_1054	6	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Thiobacillaceae	Thiobacillus	Thiobacillus thioparus
ca4f359002a42791e6e63e002698a66f	P28309_1056	16	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Thiobacillaceae	Thiobacillus	Thiobacillus thioparus
ca4f359002a42791e6e63e002698a66f	P28309_1057	12	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Thiobacillaceae	Thiobacillus	Thiobacillus thioparus
a3b560c225ea35975b6311ff836c3bab	P28309_1042	1016	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus rigui
a3b560c225ea35975b6311ff836c3bab	P28309_1043	681	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus rigui
a3b560c225ea35975b6311ff836c3bab	P28309_1044	13555	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus rigui
a3b560c225ea35975b6311ff836c3bab	P28309_1046	150949	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus rigui
